,228_store_name,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,184_store_devices,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,271_card_fee,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,318_shopkeeper_name
61,Axolote ,Handmade products ,yes,yes,no,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,yes,En Excel,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora",No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,"Excel,Software especializado",,Entrega a domicilio,,,,No creo que represente grandes ingresos,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Perder la venta,,,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Rene
62,Deportes Jano,Sports,yes,yes,no,Smartphone,No cambió,No cambió,yes,En Excel,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora",No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,"Excel,Software especializado",,Entrega a domicilio,,,,No creo que represente grandes ingresos,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Perder la venta,,,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Rene
63,In graph ,Copias y servicio computadoras  ,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Smartphone",Disminuyó 15%,No cambió,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Excel,no,Recarga telefónica,,,6%+,No creo que represente grandes ingresos,,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo de acuerdo,,,Algo de acuerdo,,,Mensajería instantánea (e.g. WhatsApp),Crédito,,Cuaderno,Efectivo,yes,Disminuir la frecuencia de pedidos,Perder la venta,,,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,María Elena
64,Camote azul ,Objetos tradicionales,no,no,no,"Analog cash register,POS system (i.e. computer + bar code scanner + printer)",Disminuyó 15%,No cambió,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Excel,,Recarga telefónica,,,,No creo que represente grandes ingresos,,,Algo de acuerdo,,,,,,,,,,,,,,,,,Perder la venta,,,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,María Elena
65,Joyeria catedral,joyeria,no,no,no,no tiene,No cambió,0,yes,En papel,En papel,No los uso,yes,no,no,no,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Ninguna,no,,Ninguna,no,Ninguno,,,,no lo vale,,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,nada,0,Ninguna,Efectivo,no,,apuntar,0,0.0,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,María Elena
66,Dulceria lili,dulceria,no,no,yes,no,Aumentó 50% o más,Aumentó 50% o más,no,En papel,En papel,No los uso,yes,no,yes,no,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,no,Ninguno,,,,mo lo vale,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Pago de contado,0,Ninguna,Efectivo,no,,Perder la venta,20%,,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,María Elena
67,Alexander collection,Ropa,no,no,no,Analog cash register,No cambió,Aumentó 15%,yes,En papel,En papel,No los uso,yes,yes,yes,Página web propia,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Cuaderno,no,Ninguno,,,,"Es muy caro,No creo que represente grandes ingresos,pérdidas ",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Mensaje de texto (SMS),,0,Cuaderno,Efectivo,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Ofrecer un producto sustituto,10%,0.0,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Laura
68,Chicago Tenis,ropa deportiva,no,no,no,"Analog cash register,Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,No cambió,yes,En Excel,Software especializado + computadora,No los uso,yes,no,yes,"Página web propia,Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Cuaderno,no,venta,,,1%,"Es muy caro,No creo que represente grandes ingresos,pérdidas ",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,empresa,Crédito,3-5%,Excel,Transferencia interbancaria,no,,Solicitar tiempo al cliente para conseguir el producto,10%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Laura
69,Big Ballz,Micro-restaurant (aka. fondita),yes,yes,yes,"Dataphone (i.e. card payments),Security cameras,Smartphone",Disminuyó 15%,Aumentó 25%,no,En papel,Software especializado + computadora,No los uso,yes,no,yes,"Aplicación móvil (e.g. Rappi, Uber Eats)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,"Aplicación móvil,Redes sociales",yes,no,Ninguna,yes,Entrega a domicilio,,,,"Es muy caro,No creo que represente grandes ingresos,pérdidas ",,,Totalmente de acuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Laura
70,Crudopolis,Cafeteria,no,yes,yes,"Dataphone (i.e. card payments),Security cameras,Smartphone",Aumentó 50% o más,Aumentó 25%,yes,En Excel,Software especializado + computadora,No los uso,no,no,yes,"Aplicación móvil (e.g. Rappi, Uber Eats)","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Software especializado,yes,Entrega a domicilio,,,1%,"Es muy caro,No creo que represente grandes ingresos,pérdidas ",Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,1-2%,"Cuaderno,Excel,Software especializado","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",no,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",30%,20.0,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Laura
71,Ferretería Flores,Ferretería,yes,no,no,"Analog cash register,Security cameras,Smartphone",No cambió,No cambió,yes,En papel,En papel,No los uso,no,no,yes,"Aplicación móvil (e.g. Rappi, Uber Eats)",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Cuaderno,yes,,"Cuaderno,Ninguna",no,Entrega a domicilio,,,,"Es muy caro,No creo que represente grandes ingresos,pérdidas ",,,Totalmente de acuerdo,,,,Algo de acuerdo,Totalmente en desacuerdo,,Totalmente en desacuerdo,,,"En persona,Mensaje de texto (SMS)",,,Cuaderno,Efectivo,,,"Informar al proveedor,Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Laura
72,Miscelánea Gaby,Grocery store (aka. nanostore),no,no,yes,Smartphone,No cambió,No cambió,yes,No lo hago,No lo hago,No los uso,no,no,yes,"Llamada a Teléfono celular,WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,"Aplicación móvil,Ninguna",no,,"Cuaderno,Ninguna",no,Recarga telefónica,,,,"Es muy caro,No creo que represente grandes ingresos,pérdidas ",,,Totalmente de acuerdo,,Algo en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,,,,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",,,Ninguna,Efectivo,yes,,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",,4.0,Totalmente de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Alan Eustaquio
73,Papelería Fher Ali,Papelería ,no,no,no,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",Disminuyó 15%,Aumentó 15%,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,"Aplicación móvil,Redes sociales",no,,Ninguna,no,"Entrega a domicilio,Recarga telefónica,Recepción y entrega de paquetes (e.g. Amazon, Mercado Libre)",Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,5%,"Es muy caro,No creo que represente grandes ingresos,pérdidas ",,Totalmente de acuerdo,Totalmente de acuerdo,,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,En persona,Recompra,0,Cuaderno,Efectivo,yes,Disminuir la cantidad del pedido,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",10%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Eduardo
74,Marina,Grocery store (aka. nanostore),no,no,yes,ninguno,No cambió,No cambió,no,En papel,En papel,No los uso,yes,no,no,"Redes sociales (e.g. Facebook, Instagram)",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,publicidades ,no,,Ninguna,no,Ninguno,,,,no es requerido ,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En persona,,,Ninguna,Efectivo,no,,"Informar al proveedor,Ofrecer un producto sustituto",0,5.0,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Andrea
75,Floristería Lupita,floristería ,no,yes,no,no cuenta con dispositivos ,No cambió,No cambió,no,No lo hago,En papel,No los uso,yes,yes,no,"Redes sociales (e.g. Facebook, Instagram)",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,Ninguna,no,Entrega a domicilio,,,1%,no es requerido ,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,En persona,ninguno,,Ninguna,Efectivo,no,,Perder la venta,20%,0.0,De acuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Leticia 
76,Copias ,Papelería ,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,no,En papel,En papel,No los uso,yes,yes,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,yes,no,Catálogo ,no,"Entrega a domicilio,Recarga telefónica",,,5%,no es requerido ,,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Página web del proveedor,"Crédito,Descuento por compras anticipadas",0,catálogo ,Efectivo,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Informar al proveedor,30%,2.0,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Linda 
77,Recaudattán,Grocery store (aka. nanostore),yes,yes,yes,Pesa y calculadora,No cambió,Aumentó 15%,yes,"En Excel,En papel",En papel,No los uso,yes,no,yes,Llamada a Teléfono celular,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,"Aplicación móvil,Redes sociales",no,,"Cuaderno,Excel",no,"Entrega a domicilio,Recarga telefónica",,,1%,no es requerido ,,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,En persona,"Consignación,Descuento por compras anticipadas",0,Cuaderno,Efectivo,yes,Ninguna de las anteriores,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",30%,2.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Karla
78,Miscelanea Meche,Grocery store (aka. nanostore),no,no,yes,"Security cameras,Smartphone",Disminuyó 15%,No cambió,no,No lo hago,En papel,No los uso,yes,yes,yes,Llamada a Teléfono celular,Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Ninguna,yes,no,Cuaderno,no,Ninguno,,,,"No conozco los servicios,No quiero involucrarme con la tecnología",Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",,,Cuaderno,Efectivo,no,,Solicitar tiempo al cliente para conseguir el producto,0,,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Karla
79,Los girasoles,Venta de productos de limpieza,yes,yes,no,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,Aumentó 50% o más,yes,"En Excel,En papel","En Excel,En papel",No los uso,yes,no,no,Página web propia,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,"Aplicación móvil,Redes sociales",no,,Redes sociales,yes,Entrega a domicilio,,,0,"No conozco los servicios,No quiero involucrarme con la tecnología",Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,En persona,Ninguno,0,Excel,"Efectivo,Transferencia interbancaria",no,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",20%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,Andrea
80,Frutas y snacks bar,Grocery store (aka. nanostore),no,no,yes,Security cameras,No cambió,Aumentó 50% o más,yes,"En papel,Mental",En papel,No los uso,no,yes,yes,Página web propia,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,no,,Ninguna,no,Ninguno,,,,no estamos listos ,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,6.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,María Guadalupe
81,Polleria Lopez ,Grocery store (aka. nanostore),no,yes,yes,"Analog cash register,Smartphone",No cambió,Aumentó 50% o más,yes,"En papel,Mental",En papel,No los uso,no,yes,yes,Página web propia,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,no,,Ninguna,,Ninguno,,,,no estamos listos ,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,María Guadalupe
82,Tortilleria de Cinteotl,Dairy products,yes,yes,no,Smartphone,No cambió,Aumentó 50% o más,yes,"En papel,Mental",En papel,No los uso,no,yes,yes,Página web propia,"Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,no,,Ninguna,,Ninguno,,,,no estamos listos ,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,María Guadalupe
83,Las Tartas,Micro-restaurant (aka. fondita),no,no,no,"Analog cash register,Security cameras,Smartphone",Disminuyó 50% o más,Aumentó 50% o más,yes,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Publicidad,no,,Ninguna,no,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",,,,,no,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Andrea 
84,La  Michoacana,Dairy products,no,no,yes,"Analog cash register,Security cameras",Disminuyó 50% o más,Aumentó 50% o más,yes,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Publicidad,no,,Ninguna,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Andrea 
85,Ferretería y Tlapaleria,Ferretería ,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Security cameras",Disminuyó 50% o más,Aumentó 50% o más,yes,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,no,,,,,,Publicidad,no,,Ninguna,,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Andrea 
86,Papelería ,papeleria,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,no,,,,,,Publicidad,yes,no,Excel,no,Ninguno,,,,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",,,,,,,Solicitar tiempo al cliente para conseguir el producto,2%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Arantza Mendez Juárez 
